invoice_no,customer_id,category,product_name,quantity,price,payment_method,invoice_date,shopping_mall,discount,email,gender,age,city,total_amount
INV00927,CUST0595,Home & Kitchen,Clay Cookware Set,10,1509.9,UPI,2022-08-23,Sri Lakshmi Shopping Mall,34.16,ramesh.varma@kakinada.edu.in,Male,58,Kadapa,9941.18
INV00928,CUST1470,Clothing,Cotton Dhoti,3,553.86,Cash,2023-11-16,SVR Mall,39.6,mohan.patil@hotmail.com,Male,51,Kadapa,1003.59
INV00929,CUST0130,Footwear,Woodland Boots,3,3010.43,Cash,2023-08-13,Sri Lakshmi Shopping Mall,45.9,devi.hegde@apsrtc.gov.in,Female,39,Kadapa,4885.93
INV00930,CUST1629,Clothing,Designer Blouse,5,1326.25,UPI,2023-01-13,Proddatur Central Mall,41.52,kavita.hegde@gmail.com,Female,26,Pulivendla,3877.95
INV00931,CUST1846,Groceries,Aashirvaad Atta (10kg),1,467.37,UPI,2023-04-22,Sri Lakshmi Shopping Mall,17.0,madhu.shastri@kakinada.edu.in,Male,30,Proddatur,387.92
INV00932,CUST1226,Clothing,Churidar Set,1,1680.56,Debit Card,2022-10-26,SVR Mall,38.25,aparna.sastry@yahoo.com,Female,44,Jammalamadugu,1037.75
INV00933,CUST0630,Groceries,Sunflower Oil (5L),3,918.42,UPI,2022-09-21,Sri Lakshmi Shopping Mall,11.09,harish.raju@apcob.org,Male,31,Proddatur,2449.7
INV00934,CUST1807,Clothing,Readymade Salwar,1,1909.49,Cash,2022-04-03,Sri Lakshmi Shopping Mall,23.32,siva.murthy@yahoo.com,Male,45,Proddatur,1464.2
INV00935,CUST0391,Clothing,Churidar Set,1,1754.52,Credit Card,2023-07-12,PSR Shopping Mall,4.57,rani.iyer@apcob.org,Female,70,Kamalapuram,1674.34
INV00936,CUST1065,Clothing,Lehenga,1,9995.55,Debit Card,2022-08-10,Sri Lakshmi Shopping Mall,1.96,naveen.murthy@proddaturmail.com,Male,36,Mydukur,9799.64
INV00937,CUST1772,Footwear,Rubber Flip Flops,4,340.34,Paytm,2022-03-20,PSR Shopping Mall,24.83,kiran.sastry@apsrtc.gov.in,Male,51,Kadapa,1023.33
INV00938,CUST1143,Groceries,Britannia Biscuits Pack,5,185.84,Cash,2022-04-08,SVR Mall,38.95,lalitha.prakash@rediffmail.com,Female,46,Proddatur,567.28
INV00939,CUST0366,Clothing,Kids' T-Shirt,1,404.35,Cash,2022-01-09,SVR Mall,1.33,sridevi.narayan@yahoo.com,Female,35,Jammalamadugu,398.97
INV00940,CUST0132,Electronics,Boat Headphones,2,1224.03,Credit Card,2022-04-20,Sri Lakshmi Shopping Mall,6.4,sunita.murthy@apsrtc.gov.in,Female,30,Proddatur,2291.38
INV00941,CUST0398,Home & Kitchen,Clay Cookware Set,2,1708.41,UPI,2022-09-08,JC Brothers Shopping Complex,35.14,saraswati.swamy@hotmail.com,Female,36,Badvel,2216.15
INV00942,CUST1185,Clothing,Cotton Dhoti,3,858.34,Credit Card,2023-09-03,PSR Shopping Mall,44.11,savitri.singh@kakinada.edu.in,Female,26,Proddatur,1439.18
INV00943,CUST1577,Groceries,Telugu Pickles (1kg),4,226.79,UPI,2023-01-12,Sri Lakshmi Shopping Mall,2.9,nirmala.nayak@outlook.com,Female,22,Jammalamadugu,880.85
INV00944,CUST1720,Beauty,Dove Soap (Pack of 3),3,142.95,UPI,2022-05-07,PSR Shopping Mall,26.96,sujatha.suryanarayana@apsrtc.gov.in,Female,30,Proddatur,313.23
INV00945,CUST1165,Groceries,Aashirvaad Atta (10kg),5,458.66,Debit Card,2023-06-27,Proddatur Central Mall,37.83,aruna.yadav@apsrtc.gov.in,Female,28,Kadapa,1425.74
INV00946,CUST0292,Footwear,Rubber Flip Flops,6,300.49,UPI,2022-06-11,JC Brothers Shopping Complex,7.39,sunita.setty@andhramail.com,Female,23,Proddatur,1669.7
INV00947,CUST1778,Electronics,OnePlus Nord CE 2,5,24553.35,Credit Card,2022-12-10,JC Brothers Shopping Complex,46.69,latha.murthy@apsrtc.gov.in,Female,37,Proddatur,65446.95
INV00948,CUST0686,Groceries,Kellogg's Corn Flakes,4,292.88,Debit Card,2022-05-14,Sri Lakshmi Shopping Mall,2.14,mohan.choudhary@apsrtc.gov.in,Male,41,Mydukur,1146.45
INV00949,CUST1662,Clothing,Cotton Dhoti,1,614.33,Cash,2022-12-12,SVR Mall,48.31,latha.venkateswarlu@outlook.com,Female,39,Kadapa,317.55
INV00950,CUST1063,Clothing,Kids' T-Shirt,6,513.26,Paytm,2023-12-12,Proddatur Central Mall,42.33,pavani.sharma@rediffmail.com,Female,50,Proddatur,1775.98
INV00951,CUST1531,Groceries,Basmati Rice (5kg),9,608.4,Credit Card,2022-02-26,Sri Lakshmi Shopping Mall,19.89,babu.pillai@hotmail.com,Male,32,Jammalamadugu,4386.5
INV00952,CUST0314,Clothing,Silk Pattu Saree,1,6090.19,UPI,2023-01-31,Proddatur Central Mall,47.02,reddy.iyer@kakinada.edu.in,Male,65,Proddatur,3226.58
INV00953,CUST1897,Electronics,Crompton Ceiling Fan,2,2033.69,Debit Card,2022-08-12,Proddatur Central Mall,40.87,madhavi.pillai@gmail.com,Female,43,Badvel,2405.04
INV00954,CUST0208,Groceries,Nandini Ghee (1L),3,625.28,Cash,2023-03-23,Proddatur Central Mall,24.26,sridevi.prakash@gmail.com,Female,45,Kadapa,1420.76
INV00955,CUST1309,Clothing,Designer Blouse,12,1763.95,Paytm,2023-09-29,Sri Lakshmi Shopping Mall,14.52,padma.kondaiah@kakinada.edu.in,Female,33,Badvel,18093.89
INV00956,CUST0755,Electronics,Sony Home Theatre,5,15074.39,Debit Card,2022-09-05,Proddatur Central Mall,26.39,usha.agarwal@apsrtc.gov.in,Female,27,Proddatur,55481.29
INV00957,CUST0260,Electronics,Mi Power Bank,2,1835.4,Cash,2022-12-17,SVR Mall,45.64,reddy.prakash@kakinada.edu.in,Male,26,Proddatur,1995.45
INV00958,CUST1779,Electronics,Philips Mixer Grinder,14,3084.37,Cash,2022-05-20,Sri Lakshmi Shopping Mall,18.72,swapna.singh@outlook.com,Female,31,Kadapa,35097.66
INV00959,CUST0831,Home & Kitchen,Copper Water Bottles,2,1252.89,Cash,2022-04-15,SVR Mall,0.9,sujana.achary@kakinada.edu.in,Female,30,Kadapa,2483.23
INV00960,CUST0979,Sports,Sports Water Bottle,1,512.26,UPI,2023-01-13,Proddatur Central Mall,40.16,durga.suryanarayana@hotmail.com,Female,39,Yerraguntla,306.54
INV00961,CUST1453,Home & Kitchen,Copper Water Bottles,3,1493.52,UPI,2022-01-17,SVR Mall,29.14,ganesh.babu@apcob.org,Male,56,Jammalamadugu,3174.92
INV00962,CUST1090,Groceries,Kellogg's Corn Flakes,20,272.0,Debit Card,2023-12-25,JC Brothers Shopping Complex,28.64,jaya.yadav@apsrtc.gov.in,Female,30,Pulivendla,3881.98
INV00963,CUST0051,Home & Kitchen,Wooden Cutting Board,1,673.01,Cash,2023-07-20,PSR Shopping Mall,33.8,madhavi.pillai@outlook.com,Female,66,Proddatur,445.53
INV00964,CUST1340,Jewelry,Pearl Necklace,2,1435.54,Credit Card,2022-04-02,SVR Mall,39.18,surya.murthy@kakinada.edu.in,Male,22,Proddatur,1746.19
INV00965,CUST1546,Clothing,Readymade Salwar,2,1205.89,Debit Card,2022-09-12,JC Brothers Shopping Complex,1.06,anitha.gowda@apcob.org,Female,38,Jammalamadugu,2386.22
INV00966,CUST1248,Groceries,Basmati Rice (5kg),2,785.99,UPI,2023-08-07,Proddatur Central Mall,44.53,padma.sharma@proddaturmail.com,Female,22,Proddatur,871.98
INV00967,CUST0949,Beauty,L'Oreal Hair Color,3,702.11,Paytm,2022-10-29,PSR Shopping Mall,27.99,manoj.pandey@kakinada.edu.in,Male,57,Proddatur,1516.77
INV00968,CUST1041,Home & Kitchen,Plastic Storage Containers,5,683.79,UPI,2023-09-30,PSR Shopping Mall,19.9,naidu.singh@yahoo.com,Male,40,Yerraguntla,2738.58
INV00969,CUST0029,Home & Kitchen,Steel Dinner Set,12,2548.7,Paytm,2022-02-01,Proddatur Central Mall,15.48,jaya.naidu@yahoo.com,Female,42,Rajampet,25849.93
INV00970,CUST1100,Groceries,Telugu Pickles (1kg),8,334.03,Debit Card,2023-06-17,Proddatur Central Mall,30.12,sirisha.raju@kakinada.edu.in,Female,34,Proddatur,1867.36
INV00971,CUST0685,Clothing,Designer Blouse,7,1659.82,Paytm,2023-06-17,Sri Lakshmi Shopping Mall,41.8,sneha.chowdary@yahoo.com,Female,61,Proddatur,6762.11
INV00972,CUST1333,Footwear,Women's Kolhapuri Chappals,1,1481.6,Credit Card,2022-12-19,PSR Shopping Mall,45.11,narayana.gopal@proddaturmail.com,Male,30,Proddatur,813.25
INV00973,CUST0374,Clothing,Kids' T-Shirt,3,503.12,Debit Card,2022-12-16,Proddatur Central Mall,38.16,jaya.naidu@yahoo.com,Female,46,Badvel,933.39
INV00974,CUST0948,Home & Kitchen,Milton Flask Set,19,1348.52,Debit Card,2023-03-21,PSR Shopping Mall,19.12,srikanth.pandey@outlook.com,Male,58,Kadapa,20722.98
INV00975,CUST0221,Clothing,Churidar Set,1,1234.35,Debit Card,2023-10-08,Proddatur Central Mall,24.1,sirisha.babu@apcob.org,Female,45,Kamalapuram,936.87
INV00976,CUST0729,Beauty,Ayurvedic Face Pack,1,450.03,Cash,2022-07-14,JC Brothers Shopping Complex,49.02,kiran.murthy@rediffmail.com,Male,29,Jammalamadugu,229.43
INV00977,CUST1433,Home & Kitchen,Designer Curtains,3,2853.67,Cash,2022-07-16,JC Brothers Shopping Complex,12.03,reddy.setty@yahoo.com,Male,38,Pulivendla,7531.12
INV00978,CUST0454,Electronics,Samsung Galaxy M32,1,15418.55,UPI,2023-06-06,Proddatur Central Mall,41.63,babu.sastry@kakinada.edu.in,Male,59,Kadapa,8999.81
INV00979,CUST1383,Clothing,Designer Blouse,4,1207.95,Cash,2022-01-02,Sri Lakshmi Shopping Mall,19.53,vijay.subramaniam@apsrtc.gov.in,Male,66,Kadapa,3888.15
INV00980,CUST0339,Clothing,Cotton Dhoti,4,651.95,Credit Card,2022-02-26,SVR Mall,3.75,priya.sharma@outlook.com,Female,38,Proddatur,2510.01
INV00981,CUST1756,Beauty,Lakme Lipstick,5,323.96,Debit Card,2022-12-09,SVR Mall,3.31,ganesh.yadav@outlook.com,Male,52,Proddatur,1566.18
INV00982,CUST0427,Electronics,Bajaj Induction Cooker,1,4889.59,Cash,2023-10-26,Sri Lakshmi Shopping Mall,3.66,lalitha.babu@andhramail.com,Female,37,Rajampet,4710.63
INV00983,CUST0213,Electronics,LG Smart TV,4,46572.46,Cash,2023-04-10,PSR Shopping Mall,26.09,rajesh.subramaniam@andhramail.com,Male,45,Proddatur,137686.82
INV00984,CUST1544,Electronics,LG Smart TV,15,26257.48,Credit Card,2023-10-20,JC Brothers Shopping Complex,18.42,rajesh.devi@andhramail.com,Male,31,Proddatur,321312.78
INV00985,CUST1220,Jewelry,Brass Antique Jewelry,7,1219.77,UPI,2022-01-18,PSR Shopping Mall,14.08,sudha.yadav@andhramail.com,Female,31,Proddatur,7336.18
INV00986,CUST0903,Home & Kitchen,Designer Curtains,14,3178.48,UPI,2022-05-24,SVR Mall,29.82,rajesh.choudhary@rediffmail.com,Male,29,Kadapa,31229.2
INV00987,CUST1346,Home & Kitchen,Copper Water Bottles,5,1279.99,Paytm,2022-04-05,Sri Lakshmi Shopping Mall,41.3,anil.naidu@yahoo.com,Male,36,Kamalapuram,3756.77
INV00988,CUST1220,Groceries,Horlicks (500g),4,256.68,UPI,2022-06-14,SVR Mall,38.89,sudha.yadav@andhramail.com,Female,31,Proddatur,627.43
INV00989,CUST1460,Groceries,Sunflower Oil (5L),1,1091.09,Debit Card,2023-11-22,Sri Lakshmi Shopping Mall,9.92,surya.pandey@outlook.com,Male,45,Proddatur,982.85
INV00990,CUST0676,Footwear,Ladies Heels,1,1472.61,UPI,2022-05-16,PSR Shopping Mall,46.53,ramesh.kondaiah@gmail.com,Male,68,Proddatur,787.4
INV00991,CUST0059,Groceries,Sunflower Oil (5L),7,939.28,Paytm,2022-04-22,Proddatur Central Mall,10.25,vamsi.narayan@proddaturmail.com,Male,23,Rajampet,5901.03
INV00992,CUST0804,Clothing,Readymade Salwar,2,1326.77,UPI,2023-11-26,PSR Shopping Mall,18.99,madhavi.gopal@apcob.org,Female,43,Kadapa,2149.63
INV00993,CUST1265,Beauty,Ayurvedic Face Pack,1,296.32,Credit Card,2022-09-01,JC Brothers Shopping Complex,24.79,sujatha.suryanarayana@outlook.com,Female,20,Jammalamadugu,222.86
INV00994,CUST0136,Clothing,Churidar Set,4,2229.23,Debit Card,2023-01-21,JC Brothers Shopping Complex,44.57,sunita.prasad@kakinada.edu.in,Female,33,Kadapa,4942.65
INV00995,CUST0350,Groceries,Toor Dal (2kg),2,336.46,UPI,2022-09-28,PSR Shopping Mall,16.15,siva.chowdary@outlook.com,Male,44,Proddatur,564.24
INV00996,CUST1708,Groceries,Sunflower Oil (5L),3,929.35,UPI,2022-10-29,PSR Shopping Mall,14.24,swapna.kumar@hotmail.com,Female,30,Jammalamadugu,2391.03
INV00997,CUST0808,Home & Kitchen,Milton Flask Set,2,1078.85,Paytm,2022-07-29,PSR Shopping Mall,26.71,devi.subramaniam@proddaturmail.com,Female,61,Rayachoti,1581.38
INV00998,CUST0472,Home & Kitchen,Steel Dinner Set,4,2847.31,Cash,2023-05-27,Sri Lakshmi Shopping Mall,3.76,naveen.venkateswarlu@hotmail.com,Male,66,Kadapa,10961.0
INV00999,CUST0229,Jewelry,Silver Toe Rings,5,414.5,Credit Card,2023-05-19,JC Brothers Shopping Complex,9.12,anupama.gupta@hotmail.com,Female,58,Proddatur,1883.49
INV01000,CUST0081,Jewelry,Stone Studded Rings,1,537.3,Cash,2023-06-16,PSR Shopping Mall,27.31,subba.agarwal@gmail.com,Male,56,Proddatur,390.56
INV01001,CUST0146,Groceries,Basmati Rice (5kg),2,727.36,UPI,2023-12-05,SVR Mall,43.33,mohan.raju@apsrtc.gov.in,Male,23,Proddatur,824.39
INV01002,CUST1907,Beauty,Nivea Skin Cream,8,253.16,UPI,2022-09-06,Sri Lakshmi Shopping Mall,34.08,sujana.sharma@apsrtc.gov.in,Female,64,Pulivendla,1335.06
INV01003,CUST1574,Clothing,Silk Pattu Saree,1,19396.51,Cash,2022-12-13,SVR Mall,1.15,sirisha.suryanarayana@hotmail.com,Female,56,Proddatur,19173.45
INV01004,CUST1487,Home & Kitchen,Designer Curtains,6,2506.95,UPI,2023-07-12,PSR Shopping Mall,46.36,madhavi.pillai@apsrtc.gov.in,Female,35,Kadapa,8068.37
INV01005,CUST1637,Clothing,Silk Pattu Saree,3,8539.25,Cash,2023-12-18,Proddatur Central Mall,20.25,swapna.devi@rediffmail.com,Female,35,Kadapa,20430.16
INV01006,CUST0825,Electronics,Samsung Galaxy M32,1,13504.47,Credit Card,2022-01-16,Proddatur Central Mall,7.18,kavita.sastry@outlook.com,Female,40,Kamalapuram,12534.85
INV01007,CUST0840,Clothing,Lehenga,5,4623.12,Paytm,2022-07-04,JC Brothers Shopping Complex,7.96,sarala.gupta@kakinada.edu.in,Female,44,Mydukur,21275.6
INV01008,CUST0209,Home & Kitchen,Plastic Storage Containers,3,993.32,Credit Card,2022-01-16,PSR Shopping Mall,46.85,sunita.kondaiah@proddaturmail.com,Female,19,Kamalapuram,1583.85
INV01009,CUST1372,Clothing,Women's Saree,2,4898.44,UPI,2023-08-07,SVR Mall,38.5,lakshmi.iyer@hotmail.com,Female,29,Jammalamadugu,6025.08
INV01010,CUST0010,Electronics,Boat Headphones,6,2937.83,Paytm,2022-05-23,SVR Mall,37.75,rajesh.kondaiah@yahoo.com,Male,47,Mydukur,10972.8
INV01011,CUST0535,Groceries,MTR Masala Pack,5,347.04,Debit Card,2023-08-28,SVR Mall,31.17,satish.sastry@kakinada.edu.in,Male,50,Proddatur,1194.34
INV01012,CUST0894,Footwear,Kids' School Shoes,6,1135.31,UPI,2022-01-17,Sri Lakshmi Shopping Mall,1.89,srikanth.narayan@apcob.org,Male,35,Kadapa,6683.12
INV01013,CUST0168,Home & Kitchen,Cotton Bed Sheet,4,1196.08,Paytm,2023-09-12,SVR Mall,27.11,vijay.achary@proddaturmail.com,Male,29,Proddatur,3487.29
INV01014,CUST1488,Electronics,Bajaj Induction Cooker,9,4945.11,Credit Card,2023-12-10,SVR Mall,14.91,anitha.devi@proddaturmail.com,Female,47,Proddatur,37870.15
INV01015,CUST1679,Groceries,Sunflower Oil (5L),2,994.18,Debit Card,2023-06-09,SVR Mall,14.18,sudha.chowdary@gmail.com,Female,28,Proddatur,1706.41
INV01016,CUST1336,Groceries,Aashirvaad Atta (10kg),3,469.53,Debit Card,2023-06-04,Proddatur Central Mall,22.07,sekhar.kondaiah@outlook.com,Male,45,Yerraguntla,1097.71
INV01017,CUST0579,Jewelry,Stone Studded Rings,2,758.06,Debit Card,2022-08-29,Proddatur Central Mall,23.88,sekhar.reddy@gmail.com,Male,38,Jammalamadugu,1154.07
INV01018,CUST0682,Jewelry,Brass Antique Jewelry,5,984.86,Paytm,2022-01-27,Sri Lakshmi Shopping Mall,39.01,saraswati.kondaiah@rediffmail.com,Female,31,Proddatur,3003.33
INV01019,CUST0467,Home & Kitchen,Copper Water Bottles,2,1095.92,Debit Card,2023-10-05,Proddatur Central Mall,26.61,praveen.hegde@proddaturmail.com,Male,32,Proddatur,1608.59
INV01020,CUST0059,Groceries,Kellogg's Corn Flakes,1,240.7,UPI,2023-10-01,Proddatur Central Mall,35.93,vamsi.narayan@proddaturmail.com,Male,23,Rajampet,154.22
INV01021,CUST1980,Groceries,Basmati Rice (5kg),1,648.17,Cash,2022-11-24,SVR Mall,37.49,meena.devi@apsrtc.gov.in,Female,54,Proddatur,405.17
INV01022,CUST0436,Home & Kitchen,Prestige Pressure Cooker,7,2297.19,Credit Card,2022-11-22,Proddatur Central Mall,9.31,anupama.rao@gmail.com,Female,47,Proddatur,14583.25
INV01023,CUST1588,Clothing,Kurta Pajama,2,2324.53,Cash,2023-01-13,PSR Shopping Mall,33.18,murali.naidu@outlook.com,Male,35,Proddatur,3106.5
INV01024,CUST1165,Home & Kitchen,Clay Cookware Set,1,2028.42,UPI,2023-01-26,Sri Lakshmi Shopping Mall,28.46,aruna.yadav@apsrtc.gov.in,Female,28,Kadapa,1451.13
INV01025,CUST1976,Electronics,Sony Home Theatre,2,17638.61,Cash,2022-06-21,JC Brothers Shopping Complex,37.32,pavan.hegde@yahoo.com,Male,62,Proddatur,22111.76
INV01026,CUST0032,Clothing,Designer Blouse,5,1150.44,UPI,2022-09-15,JC Brothers Shopping Complex,29.68,sirisha.raju@outlook.com,Female,28,Jammalamadugu,4044.95
INV01027,CUST1845,Electronics,Philips Mixer Grinder,2,4084.87,Debit Card,2023-09-19,SVR Mall,6.65,rani.naidu@andhramail.com,Female,62,Proddatur,7626.45
INV01028,CUST1346,Beauty,Forest Essentials Cream,3,1839.55,Paytm,2022-10-03,SVR Mall,9.73,anil.naidu@yahoo.com,Male,36,Kamalapuram,4981.69
INV01029,CUST1490,Electronics,LG Smart TV,5,31518.21,Paytm,2022-04-16,Proddatur Central Mall,34.22,anupama.gupta@apcob.org,Female,37,Rayachoti,103663.39
INV01030,CUST1172,Home & Kitchen,Copper Water Bottles,2,842.32,Debit Card,2023-06-30,SVR Mall,47.25,aparna.agarwal@andhramail.com,Female,68,Jammalamadugu,888.65
INV01031,CUST0045,Electronics,Havells Water Heater,5,4886.61,UPI,2022-06-25,SVR Mall,34.73,chandra.sastry@rediffmail.com,Male,31,Kadapa,15947.45
INV01032,CUST1643,Electronics,Philips Mixer Grinder,13,4651.13,UPI,2023-12-04,PSR Shopping Mall,46.98,chandra.varma@proddaturmail.com,Male,39,Proddatur,32058.38
INV01033,CUST1989,Electronics,Mi Power Bank,6,1422.72,Paytm,2023-01-14,SVR Mall,47.81,devi.goud@yahoo.com,Female,36,Proddatur,4455.11
INV01034,CUST0829,Clothing,Lehenga,2,8047.9,UPI,2022-11-29,JC Brothers Shopping Complex,38.65,sridevi.pillai@apcob.org,Female,49,Kadapa,9874.77
INV01035,CUST1221,Clothing,Kurta Pajama,3,1942.19,Credit Card,2022-08-18,SVR Mall,6.0,krishna.reddy@kakinada.edu.in,Male,63,Proddatur,5476.98
INV01036,CUST0006,Clothing,Women's Saree,1,7440.22,UPI,2023-08-14,Proddatur Central Mall,29.95,srikanth.nayak@yahoo.com,Male,28,Proddatur,5211.87
INV01037,CUST0261,Beauty,Ayurvedic Face Pack,9,453.69,UPI,2023-06-19,JC Brothers Shopping Complex,13.46,vijaya.shastri@kakinada.edu.in,Female,43,Proddatur,3533.61
INV01038,CUST0204,Electronics,OnePlus Nord CE 2,1,25951.48,UPI,2022-08-04,JC Brothers Shopping Complex,22.68,devi.reddy@apcob.org,Female,58,Mydukur,20065.68
INV01039,CUST1136,Clothing,Kids' T-Shirt,1,483.06,Cash,2022-07-27,PSR Shopping Mall,44.3,praveen.hegde@proddaturmail.com,Male,25,Kadapa,269.06
INV01040,CUST1142,Clothing,Cotton Dhoti,6,623.66,UPI,2023-06-22,SVR Mall,15.87,ramesh.murthy@kakinada.edu.in,Male,34,Proddatur,3148.11
INV01041,CUST1530,Footwear,Kids' School Shoes,4,1018.28,UPI,2022-09-30,Sri Lakshmi Shopping Mall,32.17,madhavi.kondaiah@gmail.com,Female,40,Kadapa,2762.8
INV01042,CUST1531,Home & Kitchen,Steel Dinner Set,7,2021.94,Paytm,2022-02-06,Sri Lakshmi Shopping Mall,30.79,babu.pillai@hotmail.com,Male,32,Jammalamadugu,9795.69
INV01043,CUST0266,Groceries,Nandini Ghee (1L),2,612.3,Cash,2023-12-14,PSR Shopping Mall,30.25,rama.gowda@andhramail.com,Female,49,Mydukur,854.16
INV01044,CUST1052,Electronics,LG Smart TV,2,30875.25,Credit Card,2022-01-07,JC Brothers Shopping Complex,25.71,jyothi.prasad@yahoo.com,Female,40,Proddatur,45874.45
INV01045,CUST1839,Clothing,Kids' T-Shirt,5,767.59,Paytm,2023-02-16,PSR Shopping Mall,27.87,praveen.goud@apcob.org,Male,61,Proddatur,2768.31
INV01046,CUST0782,Clothing,Lehenga,13,8912.28,Debit Card,2023-03-03,PSR Shopping Mall,29.18,srikanth.iyer@andhramail.com,Male,40,Jammalamadugu,82051.8
INV01047,CUST1374,Electronics,Bajaj Induction Cooker,5,5587.78,Cash,2023-07-06,SVR Mall,6.91,mahesh.gowda@apsrtc.gov.in,Male,38,Proddatur,26008.32
INV01048,CUST1279,Sports,Cosco Basketball,1,1295.48,Credit Card,2022-12-12,JC Brothers Shopping Complex,16.98,harish.shastri@rediffmail.com,Male,27,Proddatur,1075.51
INV01049,CUST1555,Beauty,Dove Soap (Pack of 3),1,143.04,UPI,2022-11-21,SVR Mall,25.1,sravani.kumar@outlook.com,Female,30,Yerraguntla,107.14
INV01050,CUST0148,Footwear,Bata Formal Shoes,2,2776.62,Paytm,2022-05-02,Sri Lakshmi Shopping Mall,1.27,suresh.patil@apsrtc.gov.in,Male,39,Proddatur,5482.71
INV01051,CUST1871,Clothing,Kurta Pajama,5,1558.76,Credit Card,2022-02-10,Proddatur Central Mall,11.48,naga.kondaiah@andhramail.com,Male,53,Proddatur,6899.07
INV01052,CUST1757,Footwear,Kids' School Shoes,18,985.59,Paytm,2022-03-16,Sri Lakshmi Shopping Mall,41.29,lakshmi.singh@hotmail.com,Female,64,Kadapa,10415.52
INV01053,CUST1503,Beauty,Himalaya Face Wash,1,181.25,Debit Card,2022-11-30,SVR Mall,16.2,lalitha.gowda@hotmail.com,Female,22,Kadapa,151.89
INV01054,CUST0283,Home & Kitchen,Designer Curtains,1,2888.87,UPI,2022-07-28,JC Brothers Shopping Complex,9.11,sujatha.prakash@apcob.org,Female,34,Jammalamadugu,2625.69
INV01055,CUST0139,Beauty,Nivea Skin Cream,3,385.07,Credit Card,2022-10-19,PSR Shopping Mall,19.29,sneha.srinivasulu@andhramail.com,Female,34,Proddatur,932.37
INV01056,CUST1927,Groceries,Basmati Rice (5kg),11,626.92,Cash,2022-05-28,JC Brothers Shopping Complex,44.94,radha.gowda@apcob.org,Female,42,Proddatur,3797.0
INV01057,CUST1284,Electronics,Samsung Galaxy M32,2,12518.95,Paytm,2023-10-21,Proddatur Central Mall,42.3,naga.pillai@hotmail.com,Male,20,Kadapa,14446.87
INV01058,CUST1464,Electronics,OnePlus Nord CE 2,1,27154.97,UPI,2023-01-13,SVR Mall,40.27,anitha.choudhary@proddaturmail.com,Female,45,Proddatur,16219.66
INV01059,CUST0606,Home & Kitchen,Cotton Bed Sheet,4,1352.7,Credit Card,2022-04-19,Sri Lakshmi Shopping Mall,6.31,devi.devi@gmail.com,Female,37,Proddatur,5069.38
INV01060,CUST0246,Electronics,OnePlus Nord CE 2,10,24353.91,Cash,2023-10-04,SVR Mall,36.91,vijay.pandey@outlook.com,Male,61,Kadapa,153648.82
INV01061,CUST0079,Electronics,Mi Power Bank,1,992.18,Debit Card,2022-09-08,Sri Lakshmi Shopping Mall,35.88,rama.naidu@hotmail.com,Female,34,Proddatur,636.19
INV01062,CUST0904,Clothing,Silk Pattu Saree,2,11060.38,Credit Card,2023-06-30,Proddatur Central Mall,35.31,saraswati.chowdary@gmail.com,Female,42,Jammalamadugu,14309.92
INV01063,CUST1390,Jewelry,Brass Antique Jewelry,2,1249.97,Paytm,2022-07-05,SVR Mall,13.02,siva.patil@apsrtc.gov.in,Male,37,Kadapa,2174.45
INV01064,CUST0929,Electronics,LG Smart TV,1,34472.74,Paytm,2023-10-05,JC Brothers Shopping Complex,43.14,naveen.venkateswarlu@apsrtc.gov.in,Male,44,Kamalapuram,19601.2
INV01065,CUST0640,Groceries,Britannia Biscuits Pack,1,181.67,Cash,2022-05-26,PSR Shopping Mall,42.74,ravi.ramakrishna@apcob.org,Male,35,Proddatur,104.02
INV01066,CUST0997,Groceries,Sunflower Oil (5L),4,917.75,UPI,2023-11-05,PSR Shopping Mall,27.47,vamsi.chowdary@proddaturmail.com,Male,60,Pulivendla,2662.58
INV01067,CUST0763,Home & Kitchen,Steel Dinner Set,3,1313.98,UPI,2022-05-04,Proddatur Central Mall,34.37,vijay.gowda@apcob.org,Male,31,Proddatur,2587.1
INV01068,CUST0776,Home & Kitchen,Steel Dinner Set,1,2922.04,UPI,2023-08-02,Proddatur Central Mall,46.3,madhu.babu@outlook.com,Male,28,Proddatur,1569.14
INV01069,CUST1673,Groceries,Horlicks (500g),2,340.96,Debit Card,2022-06-08,Proddatur Central Mall,10.7,rama.kumar@apsrtc.gov.in,Female,56,Kadapa,608.95
INV01070,CUST0696,Home & Kitchen,Clay Cookware Set,2,1985.87,Credit Card,2022-04-14,Proddatur Central Mall,29.26,anitha.devi@apsrtc.gov.in,Female,43,Proddatur,2809.61
INV01071,CUST1674,Groceries,Basmati Rice (5kg),2,769.01,Debit Card,2023-07-21,Proddatur Central Mall,16.26,srikanth.singh@hotmail.com,Male,52,Proddatur,1287.94
INV01072,CUST0526,Beauty,Nivea Skin Cream,2,260.96,UPI,2023-08-15,PSR Shopping Mall,27.8,rama.prakash@proddaturmail.com,Female,38,Proddatur,376.83
INV01073,CUST0847,Groceries,Nandini Ghee (1L),2,647.42,UPI,2022-05-06,PSR Shopping Mall,44.13,sudhakar.nayak@rediffmail.com,Male,25,Yerraguntla,723.43
INV01074,CUST0451,Clothing,Men's Cotton Shirt,6,1485.25,UPI,2022-10-24,PSR Shopping Mall,13.05,naidu.yadav@apcob.org,Male,51,Kadapa,7748.55
